organization,brand,operating_brand,operator_status,operator_confidence,city,address,industry,stage,opportunity_type,score,vendor_readiness_score,vendor_readiness_tier,independent_signal_count,contactability_status,contact_utility_class,contact_utility_score,freshness_status,source_event_at,source_published_at,first_observed_live_at,first_actionable_live_at,last_meaningful_signal_at,cleaning_relevance_score,cleaning_lead_tier,official_website,business_phone,business_email,contact_page,timing_value,stage_confidence,signal_count,first_detected_at,first_actionable_at,first_operator_identified_at,first_contactable_at,last_signal_at,estimated_open_window,review_status,review_note,source_count,vendor_needs
#E227,#E227,#E227,UNKNOWN,UNKNOWN,Salem,1 MALL RD,warehouse/logistics,STALE,new_location,55.3,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-05-21 00:00:00,,,,,16.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:45.860382,,,,2026-08-19 16:45:45.860382,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
SPECIALTY DISTRIBUTION LLC,SPECIALTY DISTRIBUTION LLC,SPECIALTY DISTRIBUTION LLC,UNKNOWN,UNKNOWN,Salem,3 INDUSTRIAL WAY,warehouse/logistics,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-05-13 00:00:00,,,,,16.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:45.874428,,,,2026-08-19 16:45:45.874428,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
THE LOFT- #W151A,THE LOFT- #W151A,THE LOFT- #W151A,UNKNOWN,UNKNOWN,Salem,1 MALL RD,retail,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-05-13 00:00:00,,,,,22.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:45.886532,,,,2026-08-19 16:45:45.886532,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
"#100, KENCO LOGISTICS SERVICES","#100, KENCO LOGISTICS SERVICES","#100, KENCO LOGISTICS SERVICES",UNKNOWN,UNKNOWN,Salem,9 NORTHEASTERN BLVD,warehouse/logistics,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-05-08 00:00:00,,,,,16.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:45.898204,,,,2026-08-19 16:45:45.898204,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
"#9B, CINDA EXPRESS LLC","#9B, CINDA EXPRESS LLC","#9B, CINDA EXPRESS LLC",UNKNOWN,UNKNOWN,Salem,5 HAMPSHIRE ST,professional office,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-05-06 00:00:00,,,,,22.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:45.911128,,,,2026-08-19 16:45:45.911128,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
Unresolved commercial permit — 115 MAIN ST 117A MAIN ST,Unresolved commercial permit — 115 MAIN ST 117A MAIN ST,Unresolved commercial permit — 115 MAIN ST 117A MAIN ST,UNKNOWN,UNKNOWN,Salem,115 MAIN ST 117A MAIN ST,other,STALE,new_location,51.6,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-05-06 00:00:00,,,,,14.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:45.926905,,,,2026-08-19 16:45:45.926905,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
UNLMTD SPORTS #W145A,UNLMTD SPORTS #W145A,UNLMTD SPORTS #W145A,UNKNOWN,UNKNOWN,Salem,1 MALL RD,retail,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-05-02 00:00:00,,,,,22.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:45.940064,,,,2026-08-19 16:45:45.940064,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
#W145A,#W145A,#W145A,UNKNOWN,UNKNOWN,Salem,1 MALL RD,retail,STALE,new_location,55.3,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-05-01 00:00:00,,,,,22.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:45.953776,,,,2026-08-19 16:45:45.953776,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
"H-M-R AUTO SALE, UNIT 9D","H-M-R AUTO SALE, UNIT 9D","H-M-R AUTO SALE, UNIT 9D",UNKNOWN,UNKNOWN,Salem,5 HAMPSHIRE ST,other,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-04-22 00:00:00,,,,,14.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:45.965669,,,,2026-08-19 16:45:45.965669,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
KIND BIOTECHNOLOGY,KIND BIOTECHNOLOGY,KIND BIOTECHNOLOGY,UNKNOWN,UNKNOWN,Salem,8 INDUSTRIAL WAY8E INDUSTRIAL WAY,professional office,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-04-17 00:00:00,,,,,22.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:45.978990,,,,2026-08-19 16:45:45.978990,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
"LOCALLY HANDMADE LLC, #E112A","LOCALLY HANDMADE LLC, #E112A","LOCALLY HANDMADE LLC, #E112A",UNKNOWN,UNKNOWN,Salem,1 MALL RD,other,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-04-16 00:00:00,,,,,14.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:45.991606,,,,2026-08-19 16:45:45.991606,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
TOWN OF SALEM,TOWN OF SALEM,TOWN OF SALEM,UNKNOWN,UNKNOWN,Salem,21 CROSS ST,other,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-04-15 00:00:00,,,,,14.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:46.005157,,,,2026-08-19 16:45:46.005157,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
HMR AUTO SALES,HMR AUTO SALES,HMR AUTO SALES,UNKNOWN,UNKNOWN,Salem,5 HAMPSHIRE ST,professional office,STALE,new_location,55.3,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-04-16 00:00:00,,,,,22.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:46.016889,,,,2026-08-19 16:45:46.016889,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
"200 VIA TOSCANA, #1010 WARBY PARKER","200 VIA TOSCANA, #1010 WARBY PARKER","200 VIA TOSCANA, #1010 WARBY PARKER",UNKNOWN,UNKNOWN,Salem,17 TUSCAN BLVD,retail,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-04-09 00:00:00,,,,,22.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:46.030734,,,,2026-08-19 16:45:46.030734,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
& 4 NH GUITARS,& 4 NH GUITARS,& 4 NH GUITARS,UNKNOWN,UNKNOWN,Salem,2 RANGE RD,retail,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-04-09 00:00:00,,,,,22.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:46.043410,,,,2026-08-19 16:45:46.043410,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
TOWN OF SALEM NH,TOWN OF SALEM NH,TOWN OF SALEM NH,UNKNOWN,UNKNOWN,Salem,21 CROSS ST,other,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-04-04 00:00:00,,,,,14.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:46.057158,,,,2026-08-19 16:45:46.057158,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
"#104, DR. CAROLINE TAHK","#104, DR. CAROLINE TAHK","#104, DR. CAROLINE TAHK",UNKNOWN,UNKNOWN,Salem,25 PELHAM RD,professional office,STALE,new_location,55.3,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-04-04 00:00:00,,,,,22.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:46.068398,,,,2026-08-19 16:45:46.068398,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
"91 STILES RD, #101 ioMOSAIC CORP","91 STILES RD, #101 ioMOSAIC CORP","91 STILES RD, #101 ioMOSAIC CORP",UNKNOWN,UNKNOWN,Salem,91 STILES RD,professional office,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-03-28 00:00:00,,,,,22.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:46.081981,,,,2026-08-19 16:45:46.081981,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
"THE WHELAN GROUP LLC, #3","THE WHELAN GROUP LLC, #3","THE WHELAN GROUP LLC, #3",UNKNOWN,UNKNOWN,Salem,21 TROLLEY LN,professional office,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-03-27 00:00:00,,,,,22.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:46.095763,,,,2026-08-19 16:45:46.095763,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
"12 STILES RD, #206","12 STILES RD, #206","12 STILES RD, #206",UNKNOWN,UNKNOWN,Salem,12 STILES RD,professional office,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-03-26 00:00:00,,,,,22.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:46.108931,,,,2026-08-19 16:45:46.108931,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
"J & M AUTO SALES, #316","J & M AUTO SALES, #316","J & M AUTO SALES, #316",UNKNOWN,UNKNOWN,Salem,282 MAIN ST,professional office,STALE,new_location,55.3,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-03-28 00:00:00,,,,,22.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:46.122332,,,,2026-08-19 16:45:46.122332,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
"MANGO THAI, #F207","MANGO THAI, #F207","MANGO THAI, #F207",UNKNOWN,UNKNOWN,Salem,1 MALL RD,restaurant,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-03-12 00:00:00,,,,,26.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:46.133538,,,,2026-08-19 16:45:46.133538,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
"ANN TAYLOR LOFT MECHANICAL MODIFY EXISTING HVAC SYSTEM PER TENANT FIT UP PLANS. WORK TO INCLUDE FURNISHING AND INSTALLED (3) FPTS AND (1) BATHROOM EXHAUST FAN. WORK TO ALSO INCLUDE NEW DUCT, RUNOUTS AND RGDS. 42,000.00$ 252.00 $ CONTROL AIR SYSTEMS ROCKSAL MALL LLC","ANN TAYLOR LOFT MECHANICAL MODIFY EXISTING HVAC SYSTEM PER TENANT FIT UP PLANS. WORK TO INCLUDE FURNISHING AND INSTALLED (3) FPTS AND (1) BATHROOM EXHAUST FAN. WORK TO ALSO INCLUDE NEW DUCT, RUNOUTS AND RGDS. 42,000.00$ 252.00 $ CONTROL AIR SYSTEMS ROCKSAL MALL LLC","ANN TAYLOR LOFT MECHANICAL MODIFY EXISTING HVAC SYSTEM PER TENANT FIT UP PLANS. WORK TO INCLUDE FURNISHING AND INSTALLED (3) FPTS AND (1) BATHROOM EXHAUST FAN. WORK TO ALSO INCLUDE NEW DUCT, RUNOUTS AND RGDS. 42,000.00$ 252.00 $ CONTROL AIR SYSTEMS ROCKSAL MALL LLC",UNKNOWN,UNKNOWN,Salem,1 MALL RD,other,STALE,new_location,55.3,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-03-13 00:00:00,,,,,14.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:46.147093,,,,2026-08-19 16:45:46.147093,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
"BETTER EQUIPMENT SALES, #8","BETTER EQUIPMENT SALES, #8","BETTER EQUIPMENT SALES, #8",UNKNOWN,UNKNOWN,Salem,40 LOWELL RD,retail,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-03-07 00:00:00,,,,,22.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:46.160333,,,,2026-08-19 16:45:46.160333,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
"ALTERNATIVE ROUTE TO WELLNESS, UNIT #213 OFFICE 2","ALTERNATIVE ROUTE TO WELLNESS, UNIT #213 OFFICE 2","ALTERNATIVE ROUTE TO WELLNESS, UNIT #213 OFFICE 2",UNKNOWN,UNKNOWN,Salem,15 ERMER RD,professional office,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-01-28 00:00:00,,,,,22.0,NOT_RELEVANT,,,,,LOW,0.9,2,2026-08-19 16:45:46.173668,,,,2026-08-19 16:45:46.256146,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
LOUKOUMADNESS,LOUKOUMADNESS,LOUKOUMADNESS,UNKNOWN,UNKNOWN,Salem,1 MALL RD,other,STALE,new_location,63.0,36.0,NOT_READY,2,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-01-16 00:00:00,,,,,20.0,NOT_RELEVANT,,,,,LOW,0.9,2,2026-08-19 16:45:46.184346,,,,2026-08-19 16:45:46.297027,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
10 MORNING SIDE COURT,10 MORNING SIDE COURT,10 MORNING SIDE COURT,UNKNOWN,UNKNOWN,Salem,9 HAMPSHIRE ST,other,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-02-26 00:00:00,,,,,14.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:46.197507,,,,2026-08-19 16:45:46.197507,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
IT'SUGAR,IT'SUGAR,IT'SUGAR,UNKNOWN,UNKNOWN,Salem,1 MALL RD,retail,STALE,new_location,63.0,36.0,NOT_READY,2,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-01-15 00:00:00,,,,,28.0,NOT_RELEVANT,,,,,LOW,0.9,2,2026-08-19 16:45:46.210081,,,,2026-08-19 16:45:46.306082,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
Unresolved commercial permit — 59 STILES RD 59 STILES RD,Unresolved commercial permit — 59 STILES RD 59 STILES RD,Unresolved commercial permit — 59 STILES RD 59 STILES RD,UNKNOWN,UNKNOWN,Salem,59 STILES RD 59 STILES RD,professional office,STALE,new_location,57.9,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-02-05 00:00:00,,,,,22.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:46.225931,,,,2026-08-19 16:45:46.225931,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
"OSSOBUCO, LLC / GATES TPU, INC. / ADDITION A","OSSOBUCO, LLC / GATES TPU, INC. / ADDITION A","OSSOBUCO, LLC / GATES TPU, INC. / ADDITION A",UNKNOWN,UNKNOWN,Salem,9 NORTHWESTERN DR,warehouse/logistics,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-01-31 00:00:00,,,,,16.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:46.238814,,,,2026-08-19 16:45:46.238814,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
"#211, OFFICE #3 THE WAXING PIXIE","#211, OFFICE #3 THE WAXING PIXIE","#211, OFFICE #3 THE WAXING PIXIE",UNKNOWN,UNKNOWN,Salem,15 ERMER RD,professional office,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-01-24 00:00:00,,,,,22.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:46.264624,,,,2026-08-19 16:45:46.264624,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
"Main Street 401, LLC","Main Street 401, LLC","Main Street 401, LLC",UNKNOWN,UNKNOWN,Salem,401 Main Street,professional office,BUILDOUT,new_location,71.9,40.1,NOT_READY,2,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-01-23 00:00:00,,,,,53.0,NOT_RELEVANT,,,,,HIGH,0.8400000000000001,2,2026-08-19 16:45:46.280516,,,,2026-08-19 16:45:46.280516,,false_positive,Historical restaurant buildout was superseded by a current residential-conversion signal; BUILDOUT classification is not current.,2,commercial_insurance;networking;pest_control;pos;post_construction_cleaning;security_cameras;signage;waste_management
HAIR BY DANA #B,HAIR BY DANA #B,HAIR BY DANA #B,UNKNOWN,UNKNOWN,Salem,26 MAIN ST,other,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-01-08 00:00:00,,,,,14.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:46.314086,,,,2026-08-19 16:45:46.314086,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
LIVE CASINO,LIVE CASINO,LIVE CASINO,UNKNOWN,UNKNOWN,Salem,1 MALL RD,other,STALE,new_location,55.3,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-01-06 00:00:00,,,,,14.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:46.326999,,,,2026-08-19 16:45:46.326999,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
NH GUITARS,NH GUITARS,NH GUITARS,UNKNOWN,UNKNOWN,Salem,2 RANGE RD,retail,STALE,new_location,55.3,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-01-08 00:00:00,,,,,22.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:46.339788,,,,2026-08-19 16:45:46.339788,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
"4KV, LLC","4KV, LLC","4KV, LLC",UNKNOWN,UNKNOWN,Manchester,2035/2055 Brown Avenue,retail,PLANNING,major_renovation,67.1,50.8,C,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-08-19 00:00:00,,,,,32.0,CLEANING_C,,,,,MEDIUM,0.72,1,2026-08-19 16:48:38.064495,,,,2026-08-19 16:48:38.064495,,actionable,Correctly bounded official application for coffee shop and gas/convenience redevelopment at an exact address.,1,commercial_cleaning;commercial_insurance;internet
Bluebird Manchester East LLC,Bluebird Manchester East LLC,Bluebird Manchester East LLC,UNKNOWN,UNKNOWN,Manchester,220 Londonderry Turnpike,professional office,PLANNING,major_renovation,67.1,30.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-08-19 00:00:00,,,,,32.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 16:48:38.100265,,,,2026-08-19 16:48:38.100265,,stale,Superseded: Bluebird abandoned and sold the 220 Londonderry Turnpike site; later medical development has no finalized operator.,1,commercial_cleaning;commercial_insurance;internet
"Quick Stop Properties, LLC","Quick Stop Properties, LLC","Quick Stop Properties, LLC",UNKNOWN,UNKNOWN,Salem,282 North Broadway,retail,PLANNING,major_renovation,64.1,45.8,C,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-08-19 00:00:00,,,,,32.0,CLEANING_C,,,,,MEDIUM,0.72,1,2026-08-19 17:43:48.382354,2026-08-19 17:43:48.382354,,,2026-08-19 17:43:48.382354,,actionable,Current change-of-use application supports several commercial uses at an exact address; individual tenants remain unresolved.,1,commercial_cleaning;commercial_insurance;internet
Tuscan Village Master Development,Tuscan Village Master Development,Tuscan Village Master Development,UNKNOWN,UNKNOWN,Salem,21 Via Toscana,restaurant,PLANNING,major_renovation,64.1,45.8,C,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-08-19 00:00:00,,,,,36.0,CLEANING_C,,,,,MEDIUM,0.72,1,2026-08-19 17:43:48.415541,2026-08-19 17:43:48.415541,,,2026-08-19 17:43:48.415541,,actionable,Current retail and restaurant buildings within Tuscan Village are legitimate commercial development.,1,commercial_cleaning;commercial_insurance;internet
"Young Land Holdings, LLC","Young Land Holdings, LLC","Young Land Holdings, LLC",UNKNOWN,UNKNOWN,Salem,92 Lowell Road,professional office,PLANNING,major_renovation,64.1,45.8,C,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-08-19 00:00:00,,,,,32.0,CLEANING_C,,,,,MEDIUM,0.72,1,2026-08-19 17:43:48.427397,2026-08-19 17:43:48.427397,,,2026-08-19 17:43:48.427397,,actionable,"Current warehouse and office development at an exact address is legitimate, with operator still unresolved.",1,commercial_cleaning;commercial_insurance;internet
"Wellco Learning, LLC","Wellco Learning, LLC",The Goddard School,KNOWN,CONFIRMED,Salem,142 Main Street,childcare,PLANNING,major_renovation,64.1,80.8,B,1,CONTACTABLE,CORPORATE,60,HISTORICAL,2026-08-19 00:00:00,,,,,60.0,CLEANING_B,,,,https://goddardschool.com/contact,MEDIUM,0.72,1,2026-08-19 17:43:48.436612,2026-08-19 17:43:48.436612,2026-08-19 17:49:32.447069,2026-08-19 17:49:32.447800,2026-08-19 17:43:48.436612,,actionable,Named daycare operator and exact address support a strong current commercial project.,1,commercial_cleaning;commercial_insurance;internet
Sea Level LLC,Sea Level LLC,Sea Level LLC,UNKNOWN,UNKNOWN,Portsmouth,185-187 Wentworth House Road,warehouse/logistics,PLANNING,major_renovation,59.4,25.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-06-23 00:00:00,,,,,26.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 17:44:50.446067,,,,2026-08-19 17:44:50.446067,,not_actionable,EPA-mandated PCB and wetland remediation is real work but not a new operating-business lead.,1,commercial_cleaning;commercial_insurance;internet
Strawbery Banke Inc,Strawbery Banke Inc,Strawbery Banke Inc,UNKNOWN,UNKNOWN,Portsmouth,65 Washington Street,professional office,PLANNING,major_renovation,58.9,25.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-06-18 00:00:00,,,,,32.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 17:44:50.474497,,,,2026-08-19 17:44:50.474497,,not_actionable,Drainage and stormwater improvements at an existing museum are not a new business lead.,1,commercial_cleaning;commercial_insurance;internet
The City of Portsmouth,The City of Portsmouth,The City of Portsmouth,UNKNOWN,UNKNOWN,Portsmouth,"100 Foundry Place. The project is the subdivision of an existing parcel into five new parcels, with the existing structures to remain as currently existing, and no new construction proposed at this time. III. PUBLIC HEARINGS-- OLD BUSINESS The Board’s action in these matters has been deemed to be quasi-judicial in nature. If any person believes any member of the Board has a conflict of interest, that issue should be raised at this point or it will be deemed waived. A. The request of Aviation Avenue Group (Owner), Kane Management Group LLC (Applicant), for property located at 100 New Hampshire Avenue",other,PLANNING,major_renovation,64.1,25.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-08-19 00:00:00,,,,,24.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 17:44:50.483593,2026-08-19 17:44:50.483593,,,2026-08-19 17:44:50.483593,,false_positive,Agenda boundary contamination produced an invalid organization and address from adjacent applications.,1,commercial_cleaning;commercial_insurance;internet
The City of Portsmouth,The City of Portsmouth,The City of Portsmouth,UNKNOWN,UNKNOWN,Portsmouth,"100 Foundry Place. The project is the subdivision of an existing parcel into five new parcels, with the existing structures to remain as currently existing, and no new construction proposed at this time. Motion: P. Giuliano, Second: B. Bowen Motion: passed with all in favor; Councilor Moreau abstained III. PUBLIC HEARINGS-- OLD BUSINESS The Board’s action in these matters has been deemed to be quasi-judicial in nature. If any person believes any member of the Board has a conflict of interest, that issue should be raised at this point or it will be deemed waived. A. The request of Aviation Avenue Group (Owner), Kane Management Group LLC (Applicant), for property located at 100 New Hampshire Avenue",other,PLANNING,major_renovation,64.1,25.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-08-19 00:00:00,,,,,24.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 17:44:50.493563,2026-08-19 17:44:50.493563,,,2026-08-19 17:44:50.493563,,false_positive,Action-sheet boundary contamination produced an invalid organization and address from adjacent applications.,1,commercial_cleaning;commercial_insurance;internet
96 Sate Street LLC,96 Sate Street LLC,96 Sate Street LLC,UNKNOWN,UNKNOWN,Portsmouth,96 State Street,restaurant,PLANNING,major_renovation,64.1,25.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-08-19 00:00:00,,,,,36.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 17:44:50.501009,2026-08-19 17:44:50.501009,,,2026-08-19 17:44:50.501009,,false_positive,The project converts commercial/restaurant area to a residential apartment and reduces the commercial use.,1,commercial_cleaning;commercial_insurance;internet
